CPU,Price (Euros)
Intel Core i5 2.3GHz,"1339,69"
Intel Core i5 1.8GHz,"898,94"
Intel Core i5 7200U 2.5GHz,"575,00"
Intel Core i7 2.7GHz,"2537,45"
Intel Core i5 3.1GHz,"1803,60"
AMD A9-Series 9420 3GHz,"400,00"
Intel Core i7 2.2GHz,"2139,97"
Intel Core i5 1.8GHz,"1158,70"
Intel Core i7 8550U 1.8GHz,"1495,00"
Intel Core i5 8250U 1.6GHz,"770,00"
Intel Core i5 7200U 2.5GHz,"393,90"
Intel Core i3 6006U 2GHz,"344,99"
Intel Core i7 2.8GHz,"2439,97"
Intel Core i3 6006U 2GHz,"498,90"
Intel Core M m3 1.2GHz,"1262,40"
Intel Core i5 2.3GHz,"1518,55"
Intel Core i7 7500U 2.7GHz,"745,00"
Intel Core i7 2.9GHz,"2858,00"
Intel Core i3 7100U 2.4GHz,"499,00"
Intel Core i5 8250U 1.6GHz,"979,00"
Intel Atom x5-Z8350 1.44GHz,"191,90"
Intel Core i5 7300HQ 2.5GHz,"999,00"
AMD E-Series E2-9000e 1.5GHz,"258,00"
Intel Core i5 8250U 1.6GHz,"819,00"
Intel Core i7 8550U 1.8GHz,"659,00"
Intel Core i3 6006U 2GHz,"418,64"
Intel Core i5 1.6GHz,"1099,00"
Intel Core i5 8250U 1.6GHz,"800,00"
Intel Core i7 8650U 1.9GHz,"1298,00"
Intel Core i5 8250U 1.6GHz,"896,00"
Intel Atom x5-Z8300 1.44GHz,"244,99"
AMD E-Series E2-6110 1.5GHz,"199,00"
AMD A6-Series 9220 2.5GHz,"439,00"
Intel Core i7 8550U 1.8GHz,"1869,00"
Intel Core i5 1.6GHz,"998,00"
Intel Celeron Dual Core N3350 1.1GHz,"249,00"
Intel Core i3 7130U 2.7GHz,"367,00"
Intel Core i5 8250U 1.6GHz,"979,00"
Intel Core i5 7200U 2.5GHz,"488,69"
Intel Core i5 8250U 1.6GHz,"879,00"
Intel Core i3 6006U 2GHz,"389,00"
Intel Core i7 7700HQ 2.8GHz,"1499,00"
Intel Core i5 7200U 2.5GHz,"522,99"
Intel Core i5 8250U 1.6GHz,"682,00"
Intel Core i5 8250U 1.6GHz,"999,00"
Intel Core i5 2.0GHz,"1419,00"
Intel Core i3 6006U 2GHz,"369,00"
AMD Ryzen 1700 3GHz,"1299,00"
Intel Core i5 7200U 2.5GHz,"639,00"
Intel Pentium Quad Core N4200 1.1GHz,"466,00"
Intel Atom x5-Z8550 1.44GHz,"319,00"
Intel Core i7 8550U 1.8GHz,"841,00"
AMD A6-Series 9220 2.5GHz,"398,49"
Intel Core i7 8550U 1.8GHz,"1103,00"
Intel Core i3 7100U 2.4GHz,"384,00"
Intel Core i7 8550U 1.8GHz,"767,80"
Intel Core i3 6006U 2GHz,"439,00"
Intel Core i5 7200U 2.5GHz,"586,19"
Intel Core i7 7700HQ 2.8GHz,"2449,00"
Intel Core i3 6006U 2GHz,"415,00"
Intel Core i7 8550U 1.8GHz,"1299,00"
Intel Core i5 8250U 1.6GHz,"879,00"
Intel Core i3 7130U 2.7GHz,"599,00"
Intel Core i5 8250U 1.6GHz,"941,00"
Intel Core i5 7200U 2.5GHz,"690,00"
Intel Core i7 7700HQ 2.8GHz,"1983,00"
Intel Core i3 6006U 2GHz,"438,69"
Intel Celeron Dual Core N3060 1.6GHz,"229,00"
Intel Core i5 7200U 2.5GHz,"549,00"
Intel Core i7 7700HQ 2.8GHz,"949,00"
Intel Core i5 7200U 2.5GHz,"1089,00"
Intel Core i7 8550U 1.8GHz,"955,00"
Intel Core i7 8550U 1.8GHz,"870,00"
Intel Core i5 7300HQ 2.5GHz,"1095,00"
Intel Core i3 6006U 2GHz,"389,00"
Intel Core i7 7700HQ 2.8GHz,"949,00"
Intel Core i5 7200U 2.5GHz,"519,00"
Intel Core i7 8550U 1.8GHz,"855,00"
Intel Core i3 7130U 2.7GHz,"530,00"
Intel Core i5 8250U 1.6GHz,"977,00"
Intel Core i5 8250U 1.6GHz,"1096,16"
Intel Core i5 1.3GHz,"1510,00"
Intel Core i5 8250U 1.6GHz,"860,00"
AMD A6-Series 9220 2.5GHz,"399,00"
AMD A9-Series 9420 3GHz,"395,00"
Intel Core i7 7700HQ 2.8GHz,"1349,00"
